Web Search interest: forventes
Denmark Jan 2011 - Jan 2016

Interest over time
Month,forventes
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,91
2013-11,96
2013-12,100
2014-01,93
2014-02,93
2014-03,93
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,89
2015-03,83
2015-04,83
2015-05,84
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,95
2015-12,77
2016-01,77


Top subregions for forventes
Subregion,forventes
Capital Region of Denmark,100
North Denmark Region,0
Central Denmark Region,0
Syddanmark,0
Region Zealand,0


Top cities for forventes
City,forventes
Copenhagen,100









